Name,Category,Ingredients,Instructions,Garnish,Glass,Source
Royal Sling 107,Himalayan Flavors,"Brandy, Cumin, Ginger Ale, Lime Juice","Combine Brandy, Cumin, and Ginger Ale in a shaker with ice. Shake well and strain into a Copper Mug. Top with Lime Wheel.",Lime Wheel,Copper Mug,Dali & Gala (Pune)
Masala Tonic 108,Tropical,"Mezcal, Himalayan Honey, Sugar Syrup, Lime Juice","Combine Mezcal, Himalayan Honey, and Sugar Syrup in a shaker with ice. Shake well and strain into a Wine Glass. Top with Curry Leaf.",Curry Leaf,Wine Glass,RÜ (Delhi)
Sunrise Sour 109,Twisted Classics,"Mezcal, Betel Leaf, Tonic Water, Lime Juice","Combine Mezcal, Betel Leaf, and Tonic Water in a shaker with ice. Shake well and strain into a Wine Glass. Top with Coffee Beans.",Coffee Beans,Wine Glass,Slow Tide (Bangalore)
Cool Mule 110,South Inspired,"Tequila, Jaggery, Sugar Syrup, Lime Juice","Combine Tequila, Jaggery, and Sugar Syrup in a shaker with ice. Shake well and strain into a Wine Glass. Top with Coffee Beans.",Coffee Beans,Wine Glass,Malaka Spice (Pune)
Ruby Mule 111,Signature,"Tequila, Rose Syrup, Tonic Water, Lime Juice","Combine Tequila, Rose Syrup, and Tonic Water in a shaker with ice. Shake well and strain into a Copper Mug. Top with Coffee Beans.",Coffee Beans,Copper Mug,PCO (Pune)
Royal Sour 112,Signature,"Vodka, Black Salt, Sugar Syrup, Lime Juice","Combine Vodka, Black Salt, and Sugar Syrup in a shaker with ice. Shake well and strain into a Copper Mug. Top with Orange Twist.",Orange Twist,Copper Mug,Lair (Goa)
Royal Martini 113,Signature,"Rum, Cumin, Pineapple Juice, Lime Juice","Combine Rum, Cumin, and Pineapple Juice in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Mint Sprig.",Mint Sprig,Rocks Glass,Muro (Delhi)
Desi Fizz 114,Signature,"Rum, Masala Chai, Ginger Ale, Lime Juice","Combine Rum, Masala Chai, and Ginger Ale in a shaker with ice. Shake well and strain into a Jam Jar. Top with Cinnamon Stick.",Cinnamon Stick,Jam Jar,Malaka Spice (Pune)
Sunset Punch 115,Tropical,"Whisky, Cumin, Sugar Syrup, Lime Juice","Combine Whisky, Cumin, and Sugar Syrup in a shaker with ice. Shake well and strain into a Martini Glass. Top with Lime Wheel.",Lime Wheel,Martini Glass,Joseph Bar (Noida)
Rustic Sour 116,The Icons,"Vodka, Kokum, Ginger Ale, Lime Juice","Combine Vodka, Kokum, and Ginger Ale in a shaker with ice. Shake well and strain into a Coupe. Top with Curry Leaf.",Curry Leaf,Coupe,BrewDog (Noida)
Golden Sour 117,Twisted Classics,"Gin, Saffron, Orange Juice, Lime Juice","Combine Gin, Saffron, and Orange Juice in a shaker with ice. Shake well and strain into a Wine Glass. Top with Pineapple Wedge.",Pineapple Wedge,Wine Glass,Joseph Bar (Gurgaon)
Masala Tonic 118,Signature,"Rum, Masala Chai, Cranberry Juice, Lime Juice","Combine Rum, Masala Chai, and Cranberry Juice in a shaker with ice. Shake well and strain into a Martini Glass. Top with Mint Sprig.",Mint Sprig,Martini Glass,PCO (Bangalore)
Midnight Collins 119,Signature,"Gin, Filter Kaapi, Lime Juice, Lime Juice","Combine Gin, Filter Kaapi, and Lime Juice in a shaker with ice. Shake well and strain into a Coupe. Top with Dried Chilli.",Dried Chilli,Coupe,Pandan Club (Delhi)
Desi Smash 120,Tropical,"Mezcal, Saffron, Soda, Lime Juice","Combine Mezcal, Saffron, and Soda in a shaker with ice. Shake well and strain into a Highball. Top with Orange Twist.",Orange Twist,Highball,Olterra (Hyderabad)
Monsoon Collins 121,The Icons,"Rum, Aam Panna, Pineapple Juice, Lime Juice","Combine Rum, Aam Panna, and Pineapple Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Lime Wheel.",Lime Wheel,Jam Jar,PCO (Chennai)
Sunset Punch 122,South Inspired,"Gin, Himalayan Honey, Cranberry Juice, Lime Juice","Combine Gin, Himalayan Honey, and Cranberry Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Pineapple Wedge.",Pineapple Wedge,Jam Jar,KooX (Delhi)
Sunrise Martini 123,Himalayan Flavors,"Brandy, Cumin, Coconut Water, Lime Juice","Combine Brandy, Cumin, and Coconut Water in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Pineapple Wedge.",Pineapple Wedge,Rocks Glass,Bira 91 Taproom (Noida)
Royal Mojito 124,South Inspired,"Rum, Tamarind, Ginger Ale, Lime Juice","Combine Rum, Tamarind, and Ginger Ale in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Coffee Beans.",Coffee Beans,Tiki Glass,Pandan Club (Mumbai)
Jungle Tonic 125,Tropical,"Brandy, Masala Chai, Coconut Water, Lime Juice","Combine Brandy, Masala Chai, and Coconut Water in a shaker with ice. Shake well and strain into a Jam Jar. Top with Orange Twist.",Orange Twist,Jam Jar,Elephant & Co (Mumbai)
Cool Smash 126,The Icons,"Vodka, Black Salt, Pineapple Juice, Lime Juice","Combine Vodka, Black Salt, and Pineapple Juice in a shaker with ice. Shake well and strain into a Highball. Top with Cinnamon Stick.",Cinnamon Stick,Highball,ZLB 23 (Pune)
Urban Punch 127,South Inspired,"Mezcal, Jaggery, Agave Nectar, Lime Juice","Combine Mezcal, Jaggery, and Agave Nectar in a shaker with ice. Shake well and strain into a Jam Jar. Top with Orange Twist.",Orange Twist,Jam Jar,Masque (Mumbai)
Coastal Martini 128,South Inspired,"Brandy, Saffron, Lime Juice, Lime Juice","Combine Brandy, Saffron, and Lime Juice in a shaker with ice. Shake well and strain into a Highball. Top with Curry Leaf.",Curry Leaf,Highball,Masque (Kolkata)
Masala Smash 129,Tropical,"Rum, Jaljeera, Orange Juice, Lime Juice","Combine Rum, Jaljeera, and Orange Juice in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Dried Chilli.",Dried Chilli,Rocks Glass,Sorano (Goa)
Rustic Sling 130,Himalayan Flavors,"Brandy, Himalayan Honey, Lime Juice, Lime Juice","Combine Brandy, Himalayan Honey, and Lime Juice in a shaker with ice. Shake well and strain into a Wine Glass. Top with Lemon Peel.",Lemon Peel,Wine Glass,Ekaa (Gurgaon)
Monsoon Sling 131,Signature,"Rum, Cardamom, Orange Juice, Lime Juice","Combine Rum, Cardamom, and Orange Juice in a shaker with ice. Shake well and strain into a Coupe. Top with Dried Chilli.",Dried Chilli,Coupe,Cal-On (Gurgaon)
Jungle Fizz 132,Savory & Bold,"Vodka, Indian Lime Pickle, Lime Juice, Lime Juice","Combine Vodka, Indian Lime Pickle, and Lime Juice in a shaker with ice. Shake well and strain into a Coupe. Top with Curry Leaf.",Curry Leaf,Coupe,Izumi (Kolkata)
Midnight Mojito 133,Twisted Classics,"Rum, Ginger, Cranberry Juice, Lime Juice","Combine Rum, Ginger, and Cranberry Juice in a shaker with ice. Shake well and strain into a Coupe. Top with Curry Leaf.",Curry Leaf,Coupe,Ping’s (Kolkata)
Cool Fizz 134,Tropical,"Rum, Curry Leaves, Cranberry Juice, Lime Juice","Combine Rum, Curry Leaves, and Cranberry Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Coffee Beans.",Coffee Beans,Jam Jar,Bira 91 Taproom (Mumbai)
Rustic Smash 135,The Icons,"Vodka, Tamarind, Tonic Water, Lime Juice","Combine Vodka, Tamarind, and Tonic Water in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Mint Sprig.",Mint Sprig,Tiki Glass,Izumi (Pune)
Cool Smash 136,Himalayan Flavors,"Gin, Cumin, Pineapple Juice, Lime Juice","Combine Gin, Cumin, and Pineapple Juice in a shaker with ice. Shake well and strain into a Highball. Top with Orange Twist.",Orange Twist,Highball,Indian Accent (Delhi)
Desi Sour 137,Himalayan Flavors,"Tequila, Tamarind, Ginger Ale, Lime Juice","Combine Tequila, Tamarind, and Ginger Ale in a shaker with ice. Shake well and strain into a Coupe. Top with Orange Twist.",Orange Twist,Coupe,Ekaa (Delhi)
Rustic Collins 138,Twisted Classics,"Whisky, Indian Lime Pickle, Soda, Lime Juice","Combine Whisky, Indian Lime Pickle, and Soda in a shaker with ice. Shake well and strain into a Highball. Top with Curry Leaf.",Curry Leaf,Highball,Joseph Bar (Gurgaon)
Spicy Martini 139,Savory & Bold,"Mezcal, Saffron, Ginger Ale, Lime Juice","Combine Mezcal, Saffron, and Ginger Ale in a shaker with ice. Shake well and strain into a Jam Jar. Top with Orange Twist.",Orange Twist,Jam Jar,PCO (Delhi)
Rustic Smash 140,Tropical,"Whisky, Filter Kaapi, Soda, Lime Juice","Combine Whisky, Filter Kaapi, and Soda in a shaker with ice. Shake well and strain into a Martini Glass. Top with Mint Sprig.",Mint Sprig,Martini Glass,Cal-On (Noida)
Jungle Fizz 141,Twisted Classics,"Brandy, Ginger, Soda, Lime Juice","Combine Brandy, Ginger, and Soda in a shaker with ice. Shake well and strain into a Martini Glass. Top with Orange Twist.",Orange Twist,Martini Glass,Izumi (Mumbai)
Ruby Martini 142,Himalayan Flavors,"Vodka, Saffron, Pineapple Juice, Lime Juice","Combine Vodka, Saffron, and Pineapple Juice in a shaker with ice. Shake well and strain into a Martini Glass. Top with Curry Leaf.",Curry Leaf,Martini Glass,Sorano (Goa)
Sunrise Mule 143,South Inspired,"Rum, Saffron, Cranberry Juice, Lime Juice","Combine Rum, Saffron, and Cranberry Juice in a shaker with ice. Shake well and strain into a Martini Glass. Top with Pineapple Wedge.",Pineapple Wedge,Martini Glass,Ping’s (Kolkata)
Rustic Martini 144,South Inspired,"Mezcal, Indian Lime Pickle, Cranberry Juice, Lime Juice","Combine Mezcal, Indian Lime Pickle, and Cranberry Juice in a shaker with ice. Shake well and strain into a Copper Mug. Top with Coffee Beans.",Coffee Beans,Copper Mug,Petisco (Noida)
Spicy Martini 145,Himalayan Flavors,"Brandy, Filter Kaapi, Tonic Water, Lime Juice","Combine Brandy, Filter Kaapi, and Tonic Water in a shaker with ice. Shake well and strain into a Martini Glass. Top with Mint Sprig.",Mint Sprig,Martini Glass,Sorano (Pune)
Desi Sling 146,Tropical,"Vodka, Saffron, Sugar Syrup, Lime Juice","Combine Vodka, Saffron, and Sugar Syrup in a shaker with ice. Shake well and strain into a Highball. Top with Mint Sprig.",Mint Sprig,Highball,Whisky Samba (Noida)
Emerald Fizz 147,South Inspired,"Tequila, Ginger, Agave Nectar, Lime Juice","Combine Tequila, Ginger, and Agave Nectar in a shaker with ice. Shake well and strain into a Copper Mug. Top with Mint Sprig.",Mint Sprig,Copper Mug,Petisco (Bangalore)
Rustic Sour 148,Signature,"Tequila, Black Salt, Pineapple Juice, Lime Juice","Combine Tequila, Black Salt, and Pineapple Juice in a shaker with ice. Shake well and strain into a Highball. Top with Lemon Peel.",Lemon Peel,Highball,Lair (Kolkata)
Urban Sling 149,Signature,"Whisky, Cumin, Coconut Water, Lime Juice","Combine Whisky, Cumin, and Coconut Water in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Rose Petals.",Rose Petals,Tiki Glass,Whisky Samba (Noida)
Silver Smash 150,Savory & Bold,"Rum, Cardamom, Agave Nectar, Lime Juice","Combine Rum, Cardamom, and Agave Nectar in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Orange Twist.",Orange Twist,Tiki Glass,Monkey Bar (Hyderabad)
Masala Mojito 151,Twisted Classics,"Whisky, Black Salt, Lime Juice, Lime Juice","Combine Whisky, Black Salt, and Lime Juice in a shaker with ice. Shake well and strain into a Wine Glass. Top with Pineapple Wedge.",Pineapple Wedge,Wine Glass,Cobbler & Crew (Gurgaon)
Rustic Mojito 152,Twisted Classics,"Whisky, Masala Chai, Sugar Syrup, Lime Juice","Combine Whisky, Masala Chai, and Sugar Syrup in a shaker with ice. Shake well and strain into a Wine Glass. Top with Cinnamon Stick.",Cinnamon Stick,Wine Glass,Sidecar (Delhi)
Masala Sour 153,Himalayan Flavors,"Brandy, Jaljeera, Cranberry Juice, Lime Juice","Combine Brandy, Jaljeera, and Cranberry Juice in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Orange Twist.",Orange Twist,Tiki Glass,Pandan Club (Pune)
Jungle Mule 154,Signature,"Vodka, Filter Kaapi, Agave Nectar, Lime Juice","Combine Vodka, Filter Kaapi, and Agave Nectar in a shaker with ice. Shake well and strain into a Wine Glass. Top with Cinnamon Stick.",Cinnamon Stick,Wine Glass,Avartana (Mumbai)
Sunrise Punch 155,South Inspired,"Brandy, Himalayan Honey, Orange Juice, Lime Juice","Combine Brandy, Himalayan Honey, and Orange Juice in a shaker with ice. Shake well and strain into a Highball. Top with Rose Petals.",Rose Petals,Highball,Social (Kolkata)
Emerald Sour 156,The Icons,"Vodka, Cumin, Sugar Syrup, Lime Juice","Combine Vodka, Cumin, and Sugar Syrup in a shaker with ice. Shake well and strain into a Wine Glass. Top with Mint Sprig.",Mint Sprig,Wine Glass,Little Bit Sober (Bangalore)
Midnight Mule 157,Savory & Bold,"Brandy, Tamarind, Sugar Syrup, Lime Juice","Combine Brandy, Tamarind, and Sugar Syrup in a shaker with ice. Shake well and strain into a Copper Mug. Top with Orange Twist.",Orange Twist,Copper Mug,Windmills (Bangalore)
Midnight Sour 158,The Icons,"Mezcal, Cardamom, Agave Nectar, Lime Juice","Combine Mezcal, Cardamom, and Agave Nectar in a shaker with ice. Shake well and strain into a Martini Glass. Top with Lemon Peel.",Lemon Peel,Martini Glass,Grumps (Noida)
Urban Mojito 159,Signature,"Mezcal, Black Salt, Orange Juice, Lime Juice","Combine Mezcal, Black Salt, and Orange Juice in a shaker with ice. Shake well and strain into a Martini Glass. Top with Lemon Peel.",Lemon Peel,Martini Glass,Petisco (Goa)
Sunset Martini 160,Himalayan Flavors,"Mezcal, Curry Leaves, Soda, Lime Juice","Combine Mezcal, Curry Leaves, and Soda in a shaker with ice. Shake well and strain into a Copper Mug. Top with Curry Leaf.",Curry Leaf,Copper Mug,Cock & Bull (Chennai)
Spicy Punch 161,Signature,"Whisky, Aam Panna, Tonic Water, Lime Juice","Combine Whisky, Aam Panna, and Tonic Water in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Coffee Beans.",Coffee Beans,Rocks Glass,Bira 91 Taproom (Hyderabad)
Midnight Tonic 162,The Icons,"Vodka, Jaljeera, Lime Juice, Lime Juice","Combine Vodka, Jaljeera, and Lime Juice in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Rose Petals.",Rose Petals,Tiki Glass,Pandan Club (Delhi)
Spicy Mojito 163,Himalayan Flavors,"Whisky, Cumin, Orange Juice, Lime Juice","Combine Whisky, Cumin, and Orange Juice in a shaker with ice. Shake well and strain into a Martini Glass. Top with Orange Twist.",Orange Twist,Martini Glass,Cock & Bull (Noida)
Emerald Smash 164,Himalayan Flavors,"Rum, Kokum, Soda, Lime Juice","Combine Rum, Kokum, and Soda in a shaker with ice. Shake well and strain into a Jam Jar. Top with Lime Wheel.",Lime Wheel,Jam Jar,Roxie (Goa)
Sunset Collins 165,Savory & Bold,"Gin, Tamarind, Agave Nectar, Lime Juice","Combine Gin, Tamarind, and Agave Nectar in a shaker with ice. Shake well and strain into a Highball. Top with Cinnamon Stick.",Cinnamon Stick,Highball,Izumi (Pune)
Golden Smash 166,Himalayan Flavors,"Brandy, Indian Lime Pickle, Tonic Water, Lime Juice","Combine Brandy, Indian Lime Pickle, and Tonic Water in a shaker with ice. Shake well and strain into a Copper Mug. Top with Pineapple Wedge.",Pineapple Wedge,Copper Mug,Lair (Mumbai)
Jungle Punch 167,Twisted Classics,"Mezcal, Jaggery, Orange Juice, Lime Juice","Combine Mezcal, Jaggery, and Orange Juice in a shaker with ice. Shake well and strain into a Wine Glass. Top with Curry Leaf.",Curry Leaf,Wine Glass,The Glass Onion (Noida)
Coastal Smash 168,Tropical,"Gin, Cardamom, Cranberry Juice, Lime Juice","Combine Gin, Cardamom, and Cranberry Juice in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Dried Chilli.",Dried Chilli,Tiki Glass,The Library Bar (Mumbai)
Ruby Fizz 169,Himalayan Flavors,"Tequila, Cardamom, Coconut Water, Lime Juice","Combine Tequila, Cardamom, and Coconut Water in a shaker with ice. Shake well and strain into a Jam Jar. Top with Lemon Peel.",Lemon Peel,Jam Jar,Sidecar (Hyderabad)
Jungle Mule 170,Himalayan Flavors,"Brandy, Kokum, Lime Juice, Lime Juice","Combine Brandy, Kokum, and Lime Juice in a shaker with ice. Shake well and strain into a Highball. Top with Coffee Beans.",Coffee Beans,Highball,Malaka Spice (Mumbai)
Ruby Smash 171,Twisted Classics,"Vodka, Black Salt, Coconut Water, Lime Juice","Combine Vodka, Black Salt, and Coconut Water in a shaker with ice. Shake well and strain into a Jam Jar. Top with Orange Twist.",Orange Twist,Jam Jar,Petisco (Noida)
Coastal Mojito 172,Tropical,"Tequila, Saffron, Ginger Ale, Lime Juice","Combine Tequila, Saffron, and Ginger Ale in a shaker with ice. Shake well and strain into a Wine Glass. Top with Dried Chilli.",Dried Chilli,Wine Glass,Hoots (Goa)
Monsoon Smash 173,The Icons,"Rum, Indian Lime Pickle, Coconut Water, Lime Juice","Combine Rum, Indian Lime Pickle, and Coconut Water in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Pineapple Wedge.",Pineapple Wedge,Tiki Glass,Cal-On (Chennai)
Silver Smash 174,Tropical,"Tequila, Masala Chai, Lime Juice, Lime Juice","Combine Tequila, Masala Chai, and Lime Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Coffee Beans.",Coffee Beans,Jam Jar,Muro (Pune)
Royal Tonic 175,Signature,"Tequila, Cumin, Agave Nectar, Lime Juice","Combine Tequila, Cumin, and Agave Nectar in a shaker with ice. Shake well and strain into a Highball. Top with Curry Leaf.",Curry Leaf,Highball,Room Two (Goa)
Ruby Sling 176,The Icons,"Tequila, Curry Leaves, Agave Nectar, Lime Juice","Combine Tequila, Curry Leaves, and Agave Nectar in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Dried Chilli.",Dried Chilli,Rocks Glass,Cal-On (Noida)
Sunset Fizz 177,Signature,"Whisky, Tamarind, Orange Juice, Lime Juice","Combine Whisky, Tamarind, and Orange Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Lemon Peel.",Lemon Peel,Jam Jar,Bira 91 Taproom (Bangalore)
Midnight Sling 178,The Icons,"Gin, Himalayan Honey, Orange Juice, Lime Juice","Combine Gin, Himalayan Honey, and Orange Juice in a shaker with ice. Shake well and strain into a Wine Glass. Top with Cinnamon Stick.",Cinnamon Stick,Wine Glass,The Library Bar (Gurgaon)
Midnight Fizz 179,The Icons,"Rum, Cardamom, Pineapple Juice, Lime Juice","Combine Rum, Cardamom, and Pineapple Juice in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Mint Sprig.",Mint Sprig,Rocks Glass,BrewDog (Pune)
Emerald Martini 180,Signature,"Vodka, Betel Leaf, Agave Nectar, Lime Juice","Combine Vodka, Betel Leaf, and Agave Nectar in a shaker with ice. Shake well and strain into a Coupe. Top with Lemon Peel.",Lemon Peel,Coupe,Social (Goa)
Cool Punch 181,Savory & Bold,"Tequila, Cardamom, Pineapple Juice, Lime Juice","Combine Tequila, Cardamom, and Pineapple Juice in a shaker with ice. Shake well and strain into a Martini Glass. Top with Coffee Beans.",Coffee Beans,Martini Glass,Grumps (Hyderabad)
Rustic Smash 182,Twisted Classics,"Brandy, Cardamom, Sugar Syrup, Lime Juice","Combine Brandy, Cardamom, and Sugar Syrup in a shaker with ice. Shake well and strain into a Wine Glass. Top with Pineapple Wedge.",Pineapple Wedge,Wine Glass,Monkey Bar (Kolkata)
Jungle Collins 183,The Icons,"Gin, Black Salt, Sugar Syrup, Lime Juice","Combine Gin, Black Salt, and Sugar Syrup in a shaker with ice. Shake well and strain into a Jam Jar. Top with Curry Leaf.",Curry Leaf,Jam Jar,Bira 91 Taproom (Goa)
